方法 / 模型,CD 任务类型,与 VLM 视觉思考主线关联,代表基座 / 骨干,优先级,关键创新,局限 / 残差 / 催生了什么,年份,我的视角 / 落地价值,方法家族,机构 / 团队,模态支持,演进阶段,监督方式,训练 / 评测数据集,链接,阅读状态
SNUNet-CD,二值 CD（Binary）,作为「CNN 时代终章」存在——之后 CD 整条路线向 Transformer / FM / VLM 迁移。,NestedUNet (UNet++) + ECAM（Ensemble Channel Attention Module）,P2 · 参考,用 UNet++ 的稠密跳连解决深浅特征混融；引入 ECAM 做多尺度通道注意力加权——让纯 CNN 的 CD 网络走到性能天花板。,纯 CNN 范式天花板；感受野不够全局。SNUNet 之后社区普遍承认：想再提升必须引入 Transformer。,2021,,"FCN / U-Net, Siamese CNN",Sheng Fang 等 · NUIST,光学 RGB,③ 空间-时间注意力（2019-2021）,像素级全监督,"CDD, LEVIR-CD",https://ieeexplore.ieee.org/document/9355573,待读
Change Vector Analysis (CVA),二值 CD（Binary）,CD 领域的「零号路线」。后续所有方法本质上都在替换「向量差分」这一步的特征空间——从 spectra → CNN 特征 → Transformer 特征 → CLIP/SAM/VLM 特征。,纯数学：向量模 + 向量方向（极坐标分解）,P1 · 重点,把两时相对应像素视为光谱向量，用 Δ 向量的模衡量「变化强度」、方向衡量「变化类型」。CD 领域第一个系统化、可解释的问题框架。,只能处理逐像素 spectra；对配准和辐射校正极其敏感；无法利用空间语境；阈值需手工设定。催生了 MAD/IR-MAD（统计化）、C²VA（极坐标分解）、以及所有深度学习 CD 的问题设定（「像素对 → 变化标签」）。,1980,必须知道的「问题定义」起点。即使在 VLM+SAM 时代，CVA 式的思考框架（向量模/方向）依然是无监督 baseline 的理论基础。,Transform (PCA/MAD/CVA),W.A. Malila · ERIM（2007 年 Bovolo & Bruzzone 扩展为 C²VA）,"光学 RGB, 多光谱",① 经典 · 代数/变换/PCC（pre-2015）,无监督（经典）,,https://www.mdpi.com/2072-4292/9/11/1159,待读
STANet（+ LEVIR-CD 数据集）,"二值 CD（Binary）, 建筑 CD",LEVIR-CD 是下游所有 RS-CD 论文（含 ChangeCLIP、SAM-CD、Change-Agent、你的 VLM+SAM 方案）的公用跑分集——所以本条也是 VLM 库众多条目的「数据集母体」。,ResNet-18 + BAM/PAM（Basic/Pyramid Attention Module）,P0 · 必读,(1) 提出 LEVIR-CD，至今最重要的高分 RS 建筑 CD 评测集（637 对 1024×1024 图像、7 万建筑变化）；(2) BAM/PAM 空间-时间注意力模块，显式建模跨时相像素对关系。,注意力计算量大；仅局部感受野扩展，未实现真正全局建模。催生了 BIT 用 Transformer 做全局注意力。,2020,LEVIR-CD 是「CD 领域的 ImageNet」——没读过这篇不算入门。所有 training-free 方案的零样本评估都从 LEVIR-CD 开始。,"Siamese CNN, Spatial-Temporal Attention","Hao Chen, Zhenwei Shi · Beihang University（LEVIR Lab）",光学 RGB,③ 空间-时间注意力（2019-2021）,像素级全监督,LEVIR-CD,https://www.mdpi.com/2072-4292/12/10/1662,待读
FC-EF / FC-Siam-conc / FC-Siam-diff (Daudt 2018),"二值 CD（Binary）, 建筑 CD",与 VLM 库 R7/R8 的「让 CNN/FM 学会看 RS」是同一逻辑起点——只是本库聚焦「双时相差异建模」，VLM 库聚焦「单时相表征」。,基于 U-Net 的三种变体（EF / Siam-conc / Siam-diff）,P0 · 必读,首次将端到端深度学习系统性地引入 CD。三种融合策略：Early Fusion（FC-EF）在输入端拼接双时相；Siam-conc 在编码器后拼接特征；Siam-diff 在编码器后取特征差——奠定了 CD 网络的「三大融合范式」。,感受野受限（纯 CNN）；对伪变化（季节、光照）敏感；模型容量小。催生了 SNUNet（稠密跳连）、STANet（注意力）、BIT（Transformer）——都是在回答「如何比 Siam-diff 更好地融合双时相特征」。,2018,CD 深度学习史的「起点论文」。Siam-diff 至今仍是大多数新方法的 baseline——你的方案也必须与之对标。,"FCN / U-Net, Siamese CNN",Rodrigo Caye Daudt 等 · ONERA / Télécom ParisTech,光学 RGB,② 早期 DL · Siamese/FCN（2015-2019）,像素级全监督,OSCD,https://arxiv.org/abs/1810.08462,待读
IR-MAD (Iteratively Reweighted MAD),二值 CD（Binary）,展示了「无监督 + 统计变换」的天花板——也正是这个天花板让深度学习 CD 获得了入场券。,典型相关分析（CCA）+ 迭代重加权,P2 · 参考,迭代重加权扩展 MAD (Multivariate Alteration Detection)，让「不变像素」获得更高权重，自动提纯「变化」子空间。纯无监督。,依赖高斯假设；对复杂地物（城市异质区）失效；只能输出连续变化强度图。催生了后续基于深度特征的 Deep Slow Feature Analysis (DSFA) 与无监督深度 CD。,2007,,Transform (PCA/MAD/CVA),Allan A. Nielsen · DTU,多光谱,① 经典 · 代数/变换/PCC（pre-2015）,无监督（经典）,,https://www2.imm.dtu.dk/pubdb/edoc/imm5362.pdf,待读
BIT (Binary change detection with Transformers),"二值 CD（Binary）, 建筑 CD",CD 领域第一次展示「全局语境 > 局部特征」——为后续 CLIP/VLM 引入埋下伏笔。BIT 的 token 思想与 Perceiver / DETR 同源。,ResNet-18 + 轻量 Transformer Encoder-Decoder（少量 semantic token）,P0 · 必读,把 CNN 特征「token 化」（每张图只保留 ~4 个 semantic token），仅在 token 空间跑 Transformer，再反投影回像素。把全局语境引入 CD 而几乎不增计算。,token 压缩丢失细节；仍是「双时相对齐」范式。催生了纯 Transformer CD（ChangeFormer）和 SAM-CD 的「先分 mask 再比」。,2021,读懂 BIT 就读懂了「低 token 数 + Transformer」在 dense prediction 中的潜力——对你理解 VLM 怎样用少量视觉 token 做 CD 推理也直接相关。,Hybrid CNN-Transformer,Hao Chen 等 · Beihang（LEVIR Lab）,光学 RGB,④ Transformer 主导（2021-2023）,像素级全监督,"DSIFN, LEVIR-CD, WHU-CD",https://arxiv.org/abs/2103.00208,待读
ChangeFormer,"二值 CD（Binary）, 建筑 CD",让「预训练 Transformer → 迁移到 CD」的路径正式打开；直接承接 VLM 库 R7「RS FMs」的思路。,SegFormer 的 MiT encoder + MLP decoder,P0 · 必读,彻底放弃 CNN backbone，改用分层 Transformer (MiT)；通过 Siamese 架构差分后统一解码，实现 FC-Siam-diff 的 Transformer 升级版。,训练数据饥渴；缺少语义先验；仍需标注变化标签。催生了 SAM-CD——「如果能蹭 SAM 的分割先验，是不是可以免大部分标注？」,2022,ChangeFormer 是「纯 Transformer CD」的代表——比较它与你的 VLM+SAM 方案，可以直观展示从有监督→零监督的跃迁。,Pure Transformer,"Wele Gedara Chaminda Bandara, Vishal Patel · Johns Hopkins",光学 RGB,④ Transformer 主导（2021-2023）,像素级全监督,"DSIFN, LEVIR-CD",https://arxiv.org/abs/2201.01293,待读
⑤-B · CLIP/VLM 路线：跨模态对齐做 CD（RemoteCLIP / ChangeCLIP）,"二值 CD（Binary）, 语义 CD（Semantic）",RS-VLM 主线 R5（文本锚点）+ R12（开放词汇桥梁）。CLIP 是整个 ⑥⑦ 的底层语言-视觉对齐器。,CLIP ViT-B/L + RS 继续预训练 / prompt 引导,P1 · 重点,CLIP 原生是自然图像 + 图像级对齐；RS CD 需要领域适配 + 像素级 + 对变化敏感。两条子路分别攻不同缺口：RemoteCLIP 继续预训练（用 Box-to-Text / Mask-to-Box 把检测/分割数据转图文对，修正 domain bias）；ChangeCLIP 用文本 prompt 直接引导双时相特征聚焦「变化类别」。,CLIP 特征低分辨率 + 全局偏差大（[CLS] token 主导）；在 RS 上「物体边界」和「小目标」弱。催生 SegEarth-OV 的 SimFeatUp（无监督高分辨率恢复）+ Global Bias Alleviation。,2024,CLIP 是「语义锚点」而非「定位器」，必须与 SAM（定位器）组合。我的 training-free 方案正是 CLIP 语义 + SAM 定位 + VLM 描述的三件套。,"CLIP-based, Hybrid CNN-Transformer",RemoteCLIP 团队 / ChangeCLIP 团队,"光学 RGB, 多光谱, 文本 prompt",⑤ 视觉基础模型驱动（2023-2024）,像素级全监督,"CDD, LEVIR-CD, SYSU-CD, WHU-CD",,待读
⑤-A · SAM 路线：冻结分割基座 → 适配 CD（RSPrompter / TTP / SAM-CD）,"二值 CD（Binary）, 建筑 CD",RS-VLM 主线 R7（视觉基础模型作为视觉塔）+ L2（SAM 接口）。,冻结 SAM ViT-B/L + 轻量适配模块,P0 · 必读,SAM 原生是单图交互式分割（无语义、无时间），此主题解决「如何让 SAM 感知时相差异」。三种介入点：prompt 空间（RSPrompter 学 prompt generator）、activation 空间（TTP 注入 time-travelling 激活）、特征空间（SAM-CD 训练 bi-temporal adapter）。,仍需 CD 监督；SAM 通用先验对 RS 窄域目标（轻微损毁、农田边界）不敏感；催生 BAN（多 FM 统一 adapter）与 ⑦ 零监督 SAM-Everything 路线。,2024,三种介入点为我的 training-free 方案提供结构索引：在 prompt 空间注入语言指代，等于零监督版 TTP。SAM-CD 验证「冻结 encoder + 适配器」工程落地可行。,"Hybrid CNN-Transformer, SAM-based",Beihang LEVIR / Meta SAM 生态,光学 RGB,⑤ 视觉基础模型驱动（2023-2024）,像素级全监督,"LEVIR-CD, S2Looking, WHU-CD",,待读
⑥-A · Change Captioning 奠基：双分支 Transformer → 自然语言描述（Chg2Cap / RSICCformer+LEVIR-CC）,"变化描述（Captioning）, 建筑 CD",RS-VLM 主线 R8（视觉 → 语言生成）的起点。是我方案「语言出口」的直接对标。,双分支 Transformer encoder + caption decoder,P0 · 必读,首次把 CD 从「掩码预测」扩展到「语言生成」——输出的不再是 mask，而是对「什么变了」的自然语言描述。Chg2Cap 奠基双分支 Transformer + 交叉注意力差分 + caption decoder 架构；RSICCformer 提出 LEVIR-CC 数据集（10077 对 + 5 句描述），构成 RS Change Captioning 的「ImageNet 时刻」。,封闭词汇、固定句式、语义粒度粗、不可交互。催生了三条进化路径（⑥-B：语义化/高效化/解耦化）以及 ⑥-C 的会话 & Agent 化。,2023,LEVIR-CC 是我 training-free 方案的核心 benchmark。把 VLM 当 caption decoder 接到 SAM+CLIP 管线后面即可零监督复现此主线——不用训练 decoder，换成 prompt 工程。,"Change Captioning, Hybrid CNN-Transformer",Chg2Cap / RSICCformer 团队,"光学 RGB, 文本 prompt",⑥ VLM/LLM 驱动 · Change Captioning / Agent（2024-2025）,像素级全监督,"LEVIR-CC, LEVIR-CD",,待读
