编号,标题,类型,要点
§22,融合式理解,主章,融合式编码器让图文在编码器层面相遇；ITC + ITM + LM 多损失把对齐、匹配、生成压到同一骨干——但骨干仍是专用 VL Transformer，吃不下 LLM 缩放红利
§20,总纲——从视觉独立到语言内化,总纲,载体：语言内化；主体性刻度 2（共享）；理解侧 LLaVA/Qwen-VL；出口残差 A→IV、B→V；账单 MMVP/CLIP-blindness
§21,CLIP 与对比式对齐,主章,双塔对比预训练把视觉-语言第一次拉到同一相似度空间；但是「拉到同一空间」不等于「放到同一骨干」——语言仍是挂件
§23,冻结 LLM + 视觉适配,主章,放弃从头训 VL 骨干，把 LLM 冻住、用小适配器把视觉接进去；共形重心第一次外移——视觉从「与语言对偶」转为「为语言服务」
§24,视觉指令微调,主章,把 §23 的架构模板配上指令数据；重心从架构转移到「LLM 给 VLM 发教材」；指令遵循能力实际上是 LLM 自身能力的视觉激活，而非从零发展的视觉推理
§25,原生多模态与统一生成,主章,放弃「冻 LLM + 挂接口」，让图文 token 从预训练起平权；VILA/MM1 给出关键配方、Chameleon/Transfusion 探索 early-fusion；但「视觉推理独立于语言推理」仍未真正被解决
§26,规模律与推理时刻,主章,2025 把 §25 的「工艺」系统化：训练时规模律（Shukor 2025） + 推理时规模律（o1/R1/QvQ） + 开源原生多模态工程化（InternVL3/Qwen2.5-VL）；新残差浮现——推理链加长会让视觉 grounding 逐渐脆弱
§27,遥感视觉语言模型（RS-VLM）专题：推理 + 空间定位 + 图斑产出,主章,阶段 III 的反身应用：从 GeoChat 的 bbox-level 到 GeoPixel / GeoGround 的像素级图斑产出；RS 域的四大域偏移（垂直视角 + 多尺度 + 小目标 + 多传感器）是 VLM 在这里的压力测试；§26 的推理链-grounding 残差在 RS 上被放大为三重：产出 mask 缺乏拓扑一致性、多传感器仍没被真正摄入、多时相与变化推理仍无架构
§28,多时相视觉语言模型（Multi-Temporal RS-VLM）专题：时间维度上的图斑产出,主章,§27 残差 3 的专题深化：多时相 / 变化推理仍无原生架构。五篇画出 2024–2025 两年 RS-STVLM 技术链——TEOChat 把多时相带进 VLM 对话、ChangeChat / DeltaVLM 把 bi-temporal 做到交互式指令微调、TAMMs 把变化理解与未来预测耦合、ViLaCD-R1 第一次让 VLM 端到端产出像素级变化 mask。五条共同残差：时间方向 attention 尚无原生架构、>2 时相序列研究几近空白、语言-时间-图斑三位一体 benchmark 缺失、矢量多边形 + 时间的联合生成为零、多传感器多时相的生成对齐尚无方法。三条残差汇入 IV 生成对齐与 V 反身度量。
§28-补,多时相 RS-VLM 专题补遗：十五篇被主章漏掉的关键工作（CDChat / UniRS / UniChange / BTCChat / CCExpert / Change-Agent / Change-LISA / Delta-LLaVA / Prithvi-EO-2.0 / TiMo / TimeSenCLIP / EarthMind / DisasterM3 / EarthDial / Forest-Chat）,补章,§28 主章锁定了三条主线的五篇代表作（TEOChat / ChangeChat / DeltaVLM / TAMMs / ViLaCD-R1），但每条主线下仍有关键变体与延伸工作未被收录，且存在三类与 VLM 平行演化的工作也必须纳入视野。本补章按五类补齐：A 让 VLM 理解变化的漏掉的五篇——CDChat / CCExpert / BTCChat / Change-Agent / MV-CC；B 统一多任务多时相输入的三篇——UniRS / UniChange / Change-LISA；C 2026 最新前沿的两篇——Delta-LLaVA / 双粒度 VLM；D 非 VLM 但影响 VLM 的三篇时间序列 foundation model——Prithvi-EO-2.0 / TiMo / TimeSenCLIP；E 跨传感器 + 灾害 + 林业专题的四篇——EarthMind / DisasterM3 / EarthDial / Forest-Chat。补遗后对主章 5 条残差进行三项修正：TAMMs 不再是唯一 TAM 路线（UniRS 视频路径提供另一基线）、ViLaCD-R1 不再是唯一端到端 VLM→mask（UniChange Token-Driven Decoder 给出 token 路径）、Prithvi-EO-2.0 + TiMo 指明 SITS 长时序 foundation 与 VLM 融合才是第二条残差的现实路径。
